BoroName,BoroCode,NTACode,NTAName,Shape_Area,NYC_NTA_po,NYC_NTA__1,NYC_NTA__4,BB_2018,NYC_pop,stan_2018,BB_2018_C,stan_2018_
Manhattan,"1",MN09,Morningside Heights,1246712.486409999895841,Manhattan,"2010","55929",31,"55929","55",92,"164"
Queens,"4",QN37,Kew Gardens Hills,4125289.762999999802560,Queens,"2010","37479",6,"37479","16",9,"24"
Queens,"4",QN38,Pomonok-Flushing Heights-Hillcrest,5369893.949980000033975,Queens,"2010","34034",14,"34034","41",11,"32"
Brooklyn,"3",BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2824696.888549999799579,Brooklyn,"2010","64518",32,"64518","50",43,"67"
Staten Island,"5",SI22,West New Brighton-New Brighton-St. George,2497009.713589999824762,Staten Island,"2010","33551",31,"33551","92",27,"80"
Brooklyn,"3",BK19,Brighton Beach,924220.931779999984428,Brooklyn,"2010","35547",37,"35547","104",18,"51"
Staten Island,"5",SI35,New Brighton-Silver Lake,8794152.893340000882745,Staten Island,"2010","17525",3,"17525","17",2,"11"
Staten Island,"5",SI36,Old Town-Dongan Hills-South Beach,6649177.285749999806285,Staten Island,"2010","24835",1,"24835","4",3,"12"
Staten Island,"5",SI37,Stapleton-Rosebank,2702766.225550000090152,Staten Island,"2010","26453",11,"26453","42",12,"45"
Manhattan,"1",MN24,SoHo-TriBeCa-Civic Center-Little Italy,2208671.929299999959767,Manhattan,"2010","42742",29,"42742","68",36,"84"
Bronx,"2",BX63,West Concourse,842620.118486999999732,Bronx,"2010","39282",64,"39282","163",88,"224"
Manhattan,"1",MN25,Battery Park City-Lower Manhattan,2442011.745939999818802,Manhattan,"2010","39699",11,"39699","28",29,"73"
Brooklyn,"3",BK30,Dyker Heights,1238338.720179999945685,Brooklyn,"2010","42419",17,"42419","40",7,"17"
Manhattan,"1",MN27,Chinatown,1344750.539409999968484,Manhattan,"2010","47844",31,"47844","65",51,"107"
Queens,"4",QN42,Oakland Gardens,7607337.788599999621511,Queens,"2010","28237",1,"28237","4",5,"18"
Manhattan,"1",MN20,Murray Hill-Kips Bay,1908709.247269999934360,Manhattan,"2010","50742",30,"50742","59",71,"140"
Queens,"4",QN43,Bellerose,13381456.082200000062585,Queens,"2010","25287",2,"25287","8",4,"16"
Manhattan,"1",MN21,Gramercy,1934416.004119999939576,Manhattan,"2010","27988",52,"27988","186",24,"86"
Queens,"4",QN44,Glen Oaks-Floral Park-New Hyde Park,9833175.447860000655055,Queens,"2010","22571",1,"22571","4",4,"18"
Manhattan,"1",MN22,East Village,2178371.330120000056922,Manhattan,"2010","44136",27,"44136","61",64,"145"
Manhattan,"1",MN23,West Village,1338496.794119999976829,Manhattan,"2010","66880",46,"66880","69",82,"123"
Queens,"4",QN45,Douglas Manor-Douglaston-Little Neck,9372852.047730000689626,Queens,"2010","24739",2,"24739","8",1,"4"
Bronx,"2",BX62,Woodlawn-Wakefield,1821035.079249999951571,Bronx,"2010","42483",30,"42483","71",16,"38"
Brooklyn,"3",BK25,Homecrest,2130565.924829999916255,Brooklyn,"2010","44316",22,"44316","50",16,"36"
Brooklyn,"3",BK26,Gravesend,3270756.174589999951422,Brooklyn,"2010","29436",13,"29436","44",35,"119"
Brooklyn,"3",BK27,Bath Beach,2249706.471470000222325,Brooklyn,"2010","29931",45,"29931","150",30,"100"
Queens,"4",QN41,Fresh Meadows-Utopia,2434847.379480000119656,Queens,"2010","17812",6,"17812","34",11,"62"
Manhattan,"1",MN17,Midtown-Midtown South,1860992.704850000096485,Manhattan,"2010","28630",53,"28630","185",28,"98"
Brooklyn,"3",BK21,Seagate-Coney Island,2475181.553280000109226,Brooklyn,"2010","31965",15,"31965","47",48,"150"
Manhattan,"1",MN19,Turtle Bay-East Midtown,1906016.350020000012591,Manhattan,"2010","51231",100,"51231","195",53,"103"
Brooklyn,"3",BK23,West Brighton,719554.063020000001416,Brooklyn,"2010","17750",1,"17750","6",18,"101"
Queens,"4",QN46,Bayside-Bayside Hills,2608328.085779999848455,Queens,"2010","43808",4,"43808","9",3,"7"
Queens,"4",QN47,Ft. Totten-Bay Terrace-Clearview,10682968.805800000205636,Queens,"2010","21751",7,"21751","32",4,"18"
Queens,"4",QN48,Auburndale,4132816.052459999918938,Queens,"2010","19996",0,"19996","0",3,"15"
Queens,"4",QN49,Whitestone,5339720.327309999614954,Queens,"2010","30773",1,"30773","3",4,"13"
Staten Island,"5",SI32,Rossville-Woodrow,14324580.103700000792742,Staten Island,"2010","20763",0,"20763","0",0,"0"
Brooklyn,"3",BK28,Bensonhurst West,1216850.355999999912456,Brooklyn,"2010","88727",38,"88727","43",20,"23"
Brooklyn,"3",BK29,Bensonhurst East,2379873.959249999839813,Brooklyn,"2010","62978",36,"62978","57",17,"27"
Staten Island,"5",SI45,New Dorp-Midland Beach,6228603.970689999870956,Staten Island,"2010","21896",0,"21896","0",1,"5"
Manhattan,"1",MN35,Washington Heights North,1889655.548339999979362,Manhattan,"2010","67136",114,"67136","170",136,"203"
Manhattan,"1",MN36,Washington Heights South,652856.342964999959804,Manhattan,"2010","84438",152,"84438","180",190,"225"
Staten Island,"5",SI48,Arden Heights,11566024.366399999707937,Staten Island,"2010","25238",1,"25238","4",0,"0"
Brooklyn,"3",BK40,Windsor Terrace,2257354.468109999783337,Brooklyn,"2010","20988",8,"20988","38",7,"33"
Bronx,"2",BX75,Crotona Park East,1229990.215719999978319,Bronx,"2010","20277",19,"20277","94",50,"247"
Brooklyn,"3",BK41,Kensington-Ocean Parkway,2251812.247179999947548,Brooklyn,"2010","36891",34,"36891","92",21,"57"
Queens,"4",QN53,Woodhaven,1623632.687209999887273,Queens,"2010","56674",72,"56674","127",8,"14"
Manhattan,"1",MN31,Lenox Hill-Roosevelt Island,1956780.762600000016391,Manhattan,"2010","80771",22,"80771","27",125,"155"
Queens,"4",QN54,Richmond Hill,2386683.267959999851882,Queens,"2010","62982",22,"62982","35",10,"16"
Manhattan,"1",MN32,Yorkville,1959555.685670000035316,Manhattan,"2010","77942",32,"77942","41",72,"92"
Queens,"4",QN55,South Ozone Park,1869642.049159999936819,Queens,"2010","75878",24,"75878","32",8,"11"
Manhattan,"1",MN33,East Harlem South,547579.173853000043891,Manhattan,"2010","57902",50,"57902","86",117,"202"
Manhattan,"1",MN34,East Harlem North,1903568.352849999908358,Manhattan,"2010","58019",45,"58019","78",136,"234"
Queens,"4",QN56,Ozone Park,4492337.383620000444353,Queens,"2010","21376",5,"21376","23",6,"28"
Bronx,"2",BX05,Bedford Park-Fordham North,1841945.880339999916032,Bronx,"2010","54415",82,"54415","151",83,"153"
Brooklyn,"3",BK35,Stuyvesant Heights,1611451.005020000040531,Brooklyn,"2010","63504",55,"63504","87",58,"91"
Queens,"4",QN50,Elmhurst-Maspeth,2399980.593030000105500,Queens,"2010","25521",18,"25521","71",15,"59"
Bronx,"2",BX06,Belmont,5542439.269500000402331,Bronx,"2010","27378",78,"27378","285",45,"164"
Bronx,"2",BX07,Bronxdale,2218401.189149999991059,Bronx,"2010","35538",40,"35538","113",49,"138"
Brooklyn,"3",BK37,Park Slope-Gowanus,1596011.219879999989644,Brooklyn,"2010","67649",18,"67649","27",38,"56"
Queens,"4",QN51,Murray Hill,7002900.818289999850094,Queens,"2010","51739",28,"51739","54",19,"37"
Bronx,"2",BX08,West Farms-Bronx River,1761363.109720000065863,Bronx,"2010","35011",24,"35011","69",36,"103"
Brooklyn,"3",BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1744094.395199999911711,Brooklyn,"2010","34495",21,"34495","61",64,"186"
Queens,"4",QN52,East Flushing,2015272.462800000095740,Queens,"2010","26982",11,"26982","41",8,"30"
Bronx,"2",BX01,Claremont-Bathgate,2215211.072459999937564,Bronx,"2010","31078",40,"31078","129",73,"235"
Brooklyn,"3",BK31,Bay Ridge,2080303.311320000095293,Brooklyn,"2010","79371",51,"79371","64",50,"63"
Manhattan,"1",MN28,Lower East Side,1226206.083529999945313,Manhattan,"2010","72957",41,"72957","56",107,"147"
Brooklyn,"3",BK32,Sunset Park West,1516612.999280000105500,Brooklyn,"2010","54041",20,"54041","37",27,"50"
Brooklyn,"3",BK33,Carroll Gardens-Columbia Street-Red Hook,1680804.389269999926910,Brooklyn,"2010","38353",6,"38353","16",7,"18"
Bronx,"2",BX03,Eastchester-Edenwald-Baychester,4405922.377039999701083,Bronx,"2010","34517",14,"34517","41",33,"96"
Brooklyn,"3",BK34,Sunset Park East,1625498.652449999935925,Brooklyn,"2010","72340",34,"72340","47",18,"25"
Queens,"4",QN57,Lindenwood-Howard Beach,4310186.244370000436902,Queens,"2010","26148",3,"26148","11",4,"15"
Bronx,"2",BX09,Soundview-Castle Hill-Clason Point-Harding Park,682166.213878000038676,Bronx,"2010","53686",19,"53686","35",53,"99"
Manhattan,"1",MN40,Upper East Side-Carnegie Hill,1063547.413900000043213,Manhattan,"2010","61207",12,"61207","20",50,"82"
Brooklyn,"3",BK50,Canarsie,1668038.251309999963269,Brooklyn,"2010","83693",29,"83693","35",23,"27"
Queens,"4",QN66,Laurelton,2071306.611590000102296,Queens,"2010","24453",2,"24453","8",2,"8"
Brooklyn,"3",BK46,Ocean Parkway South,2173529.655540000181645,Brooklyn,"2010","20299",14,"20299","69",11,"54"
Queens,"4",QN60,Kew Gardens,1632351.175689999945462,Queens,"2010","23278",8,"23278","34",18,"77"
Bronx,"2",BX17,East Tremont,1050346.583610000088811,Bronx,"2010","43423",63,"43423","145",49,"113"
Queens,"4",QN61,Jamaica,1830580.374709999887273,Queens,"2010","53751",59,"53751","110",30,"56"
Queens,"4",QN62,Queensboro Hill,3090324.154560000170022,Queens,"2010","20800",14,"20800","67",2,"10"
Queens,"4",QN63,Woodside,1000045.876049999962561,Queens,"2010","45099",28,"45099","62",26,"58"
Brooklyn,"3",BK42,Flatbush,2107798.135530000086874,Brooklyn,"2010","105804",136,"105804","129",165,"156"
Brooklyn,"3",BK43,Midwood,1653625.097760000033304,Brooklyn,"2010","52835",64,"52835","121",45,"85"
Bronx,"2",BX13,Co-op City,6063936.690560000017285,Bronx,"2010","43752",10,"43752","23",8,"18"
