"","b_year","borough","date","count","C_Year","C_Month","C_Day","population"
"322","STATEN_ISLAND_2019","STATEN ISLAND",2019-08-01,16,2019,8,1,476179
"63","BRONX_2019","BRONX",2019-09-01,149,2019,9,1,1432132
"128","BROOKLYN_2019","BROOKLYN",2019-09-01,155,2019,9,1,2582830
"193","MANHATTAN_2019","MANHATTAN",2019-09-01,129,2019,9,1,1628701
"258","QUEENS_2019","QUEENS",2019-09-01,72,2019,9,1,2278906
"323","STATEN_ISLAND_2019","STATEN ISLAND",2019-09-01,3,2019,9,1,476179
"64","BRONX_2019","BRONX",2019-10-01,154,2019,10,1,1432132
"129","BROOKLYN_2019","BROOKLYN",2019-10-01,134,2019,10,1,2582830
"194","MANHATTAN_2019","MANHATTAN",2019-10-01,104,2019,10,1,1628701
"259","QUEENS_2019","QUEENS",2019-10-01,81,2019,10,1,2278906
"324","STATEN_ISLAND_2019","STATEN ISLAND",2019-10-01,9,2019,10,1,476179
"65","BRONX_2019","BRONX",2019-11-01,95,2019,11,1,1432132
"130","BROOKLYN_2019","BROOKLYN",2019-11-01,143,2019,11,1,2582830
"195","MANHATTAN_2019","MANHATTAN",2019-11-01,71,2019,11,1,1628701
"260","QUEENS_2019","QUEENS",2019-11-01,72,2019,11,1,2278906
"325","STATEN_ISLAND_2019","STATEN ISLAND",2019-11-01,9,2019,11,1,476179
